Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
E J Stewart,100,27,18,8,3373.5899999999997,-673.5899999999999,-19.966563808880153
M I Stanley,100,27,7,14,2217.67,482.33000000000004,21.749403653383958
J K Prentice,100,23,19,15,2360.21,-60.20999999999997,-2.5510441867460933
G E Hall Snr,100,23,11,11,2517.5599999999995,-217.55999999999992,-8.641700694323074
B M Hewitt,100,21,23,11,2358.58,-258.58,-10.963376268771889
M D Young,100,21,13,13,3150.390000000001,-1050.3899999999999,-33.341586279793916
D A Kennedy,100,21,11,11,2147.88,-47.87999999999999,-2.2291748142354315
V L Rasmussen,100,20,22,11,1881.6899999999998,118.31000000000007,6.2874331053467944
T J Hutchins,92,20,20,15,2101.9100000000003,-101.90999999999998,-4.84844736453987
A J Dunn,100,20,16,12,2032.4300000000003,-32.42999999999999,-1.5956269096598648
R W Jack,100,20,16,7,2188.97,-188.96999999999983,-8.632827311475252
D G Weeks,100,20,12,15,1949.68,50.32000000000003,2.5809363587870844
R L Hillier,100,19,18,17,2499.15,-699.1500000000001,-27.97551167396915
K J Marshall,100,19,17,14,1956.0699999999995,-56.06999999999998,-2.866461834187938
"M A Lee, P D Lee",100,19,17,14,2328.850000000001,-428.85,-18.41466818386757
S M Price,100,19,16,8,1608.75,291.25,18.104118104118104
J R Grimson,100,19,15,16,2627.5,-727.5,-27.68791627021884
L C Pitt,100,19,15,13,2279.6699999999996,-379.6699999999999,-16.65460351717573
A M Ashwood,100,19,13,10,2179.47,-279.47,-12.822842250638919
J R Rattray,100,19,11,9,1905.0,-5.000000000000034,-0.26246719160105164
J J Alchin,100,18,19,12,2811.1800000000003,-1011.1800000000002,-35.96994856252535
R J Mellsop,100,18,13,13,1827.3799999999999,-27.37999999999995,-1.4983199991244267
R P Bell,100,18,9,11,1443.8399999999997,356.1600000000001,24.66755319148937
S I Fraser,81,18,9,9,1416.71,383.29,27.05493714309915
R J L Williams,64,18,7,13,1836.54,-36.539999999999964,-1.989610898755266
B J Howlett,100,17,24,13,1867.09,-167.09,-8.94922044464916
A J Turnbull,100,17,16,14,2152.5800000000004,-452.57999999999987,-21.02500255507344
W R Potter,100,17,15,18,1891.1000000000001,-191.09999999999994,-10.105229760456872
J G Painting,100,17,14,14,1973.67,-273.6699999999999,-13.866046502201476
S R Fennell,100,17,12,13,1570.2,129.80000000000007,8.266462870971855
D J D Smith,100,17,10,10,1660.9599999999998,39.03999999999998,2.3504479337250737
A F De Campo,100,16,17,16,2081.45,-481.45000000000005,-23.130509981022847
B D Finnis,100,16,13,17,1400.19,199.8100000000001,14.270206186303295
D C Garrard,100,16,13,11,1362.9800000000002,237.01999999999992,17.389836974863893
M D Horsnell,100,16,13,6,1515.01,84.99000000000002,5.6098639612939865
R A Wells,100,16,12,16,1510.1499999999999,89.84999999999994,5.949740092043833
B J Hewitt,100,16,11,8,1826.7899999999997,-226.78999999999996,-12.41467273195058
M A Laugher,100,16,10,12,1282.47,317.53000000000003,24.759253627765172
K E Manning,100,16,9,15,1991.3,-391.29999999999984,-19.65047958619996
J Pace,100,16,9,14,1449.3,150.70000000000002,10.398123231905059
J A Tubbs,100,16,8,12,2068.67,-468.6699999999999,-22.655619310958244
D R Wilson,100,16,8,10,1624.87,-24.869999999999937,-1.530583985180349
